date,rows
2026-05-27,88
2026-05-28,88
2026-05-29,88
2018-06-15,60
2018-08-24,60
2019-06-04,60
2019-08-30,60
2019-08-14,60
2019-08-13,60
2019-08-12,60
2019-07-15,60
2019-04-23,60
2019-01-01,60
2018-10-29,60
2019-05-01,60
2018-08-30,60
2018-08-23,60
2018-08-22,60
2018-08-21,60
2019-06-05,60
2019-06-06,60
2018-04-23,59
2018-01-01,59
2018-05-01,59
2020-03-11,54
2024-04-09,29
2023-02-08,9
2026-04-23,4
2026-05-01,4
2026-05-19,3
2026-07-15,2
2018-05-24,1
2018-05-25,1
2018-05-23,1
2018-06-01,1
2018-06-05,1
2018-06-04,1
2018-06-06,1
2018-05-28,1
2018-05-29,1
2018-05-30,1
2018-05-31,1
2020-06-01,1
2020-06-02,1
2022-03-14,1
2020-06-05,1
2020-09-01,1
2020-06-03,1
2020-06-04,1
2026-06-17,1
