legacy_observation_id,ticker,kap_ticker,financial_period,period_end,statement_type,accounting_type,legacy_sector,consolidation_basis,preferred_basis,first_publication_timestamp,available_from,legacy_available_date,first_notification_id,correction_notification_ids,latest_notification_id,vintage_count,vintage_status,lineage_confidence,presentation_unit_status,presentation_unit,tfrs29_status,restated_comparative_status,pit_quality,recovery_status,source_url,source_hash,failure_reason
AEFES.IS:2018Q1,AEFES.IS,AEFES,2018Q1,2018-03-31,INTERIM,INDUSTRIAL_OR_HOLDING,XUSIN.IS,CONSOLIDATED,CONSOLIDATED,07.05.2018 21:02:17,2018-05-08T18:10:00,2018-05-15,681646.0,[],681646.0,1,FIRST_ONLY,HIGH,RESOLVED,1.000 TL,PRE_TFRS29,UNKNOWN_NOT_SEPARATELY_PROVEN,EXACT_TIMESTAMP,RECOVERED_EXACT,https://www.kap.org.tr/tr/Bildirim/681646,71a8c6f24c78759a5327616cb223d7eec9d3e39ac26e6bfaa0a2b8d5af0f69a9,
AEFES.IS:2018Q2,AEFES.IS,AEFES,2018Q2,2018-06-30,INTERIM,INDUSTRIAL_OR_HOLDING,XUSIN.IS,CONSOLIDATED,CONSOLIDATED,09.08.2018 22:06:37,2018-08-10T18:10:00,2018-08-15,702260.0,[],702260.0,1,FIRST_ONLY,HIGH,RESOLVED,1.000 TL,PRE_TFRS29,UNKNOWN_NOT_SEPARATELY_PROVEN,EXACT_TIMESTAMP,RECOVERED_EXACT,https://www.kap.org.tr/tr/Bildirim/702260,eeb3bd89ee949d0d5b3fbe7f5fe97e938166587fc955b49aa89d3fbf1dd9cc76,
AEFES.IS:2018Q3,AEFES.IS,AEFES,2018Q3,2018-09-30,INTERIM,INDUSTRIAL_OR_HOLDING,XUSIN.IS,CONSOLIDATED,CONSOLIDATED,06.11.2018 19:54:58,2018-11-07T18:10:00,2018-11-15,718047.0,[],718047.0,1,FIRST_ONLY,HIGH,RESOLVED,1.000 TL,PRE_TFRS29,UNKNOWN_NOT_SEPARATELY_PROVEN,EXACT_TIMESTAMP,RECOVERED_EXACT,https://www.kap.org.tr/tr/Bildirim/718047,6a193083c05532b8ae49171eb68121330e3a1f0314a54b231be5c82352874c89,
AEFES.IS:2018Q4,AEFES.IS,AEFES,2018Q4,2018-12-31,ANNUAL,INDUSTRIAL_OR_HOLDING,XUSIN.IS,CONSOLIDATED,CONSOLIDATED,28.02.2019 22:52:45,2019-03-01T18:10:00,2019-03-15,743546.0,[],743546.0,1,FIRST_ONLY,HIGH,RESOLVED,1.000 TL,PRE_TFRS29,UNKNOWN_NOT_SEPARATELY_PROVEN,EXACT_TIMESTAMP,RECOVERED_EXACT,https://www.kap.org.tr/tr/Bildirim/743546,599e3e2bc103b1e8b856fbba0736ee564910ff21e5eb5a59eed4c8e2a7bfbe01,
AEFES.IS:2019Q1,AEFES.IS,AEFES,2019Q1,2019-03-31,INTERIM,INDUSTRIAL_OR_HOLDING,XUSIN.IS,CONSOLIDATED,CONSOLIDATED,08.05.2019 22:13:30,2019-05-09T18:10:00,2019-05-15,762358.0,[],762358.0,1,FIRST_ONLY,HIGH,RESOLVED,1.000 TL,PRE_TFRS29,UNKNOWN_NOT_SEPARATELY_PROVEN,EXACT_TIMESTAMP,RECOVERED_EXACT,https://www.kap.org.tr/tr/Bildirim/762358,c36e7fb5e34b5ff591a8b272ccb518db713a74dfe167f6dad9916c5b9ed4faf6,
AEFES.IS:2019Q2,AEFES.IS,AEFES,2019Q2,2019-06-30,INTERIM,INDUSTRIAL_OR_HOLDING,XUSIN.IS,CONSOLIDATED,CONSOLIDATED,07.08.2019 23:42:09,2019-08-08T18:10:00,2019-08-15,780765.0,[],780765.0,1,FIRST_ONLY,HIGH,RESOLVED,1.000 TL,PRE_TFRS29,UNKNOWN_NOT_SEPARATELY_PROVEN,EXACT_TIMESTAMP,RECOVERED_EXACT,https://www.kap.org.tr/tr/Bildirim/780765,ad18e7e3184b9e987e2c6da6d6437545d8d836a0f16fd3d671872e6a6ecbb820,
AEFES.IS:2019Q3,AEFES.IS,AEFES,2019Q3,2019-09-30,INTERIM,INDUSTRIAL_OR_HOLDING,XUSIN.IS,CONSOLIDATED,CONSOLIDATED,05.11.2019 19:00:04,2019-11-06T18:10:00,2019-11-15,796754.0,[797024],797024.0,2,FIRST_PLUS_CORRECTION,HIGH,RESOLVED,1.000 TL,PRE_TFRS29,UNKNOWN_NOT_SEPARATELY_PROVEN,EXACT_TIMESTAMP,RECOVERED_EXACT,https://www.kap.org.tr/tr/Bildirim/796754,4b7d99c3186cb4a53bdb4c56ef697d28c84af0c3ed9b3c988fe7a4edab7241a5,
AEFES.IS:2019Q4,AEFES.IS,AEFES,2019Q4,2019-12-31,ANNUAL,INDUSTRIAL_OR_HOLDING,XUSIN.IS,CONSOLIDATED,CONSOLIDATED,27.02.2020 20:52:38,2020-02-28T18:10:00,2020-03-15,822265.0,[],822265.0,1,FIRST_ONLY,HIGH,RESOLVED,1.000 TL,PRE_TFRS29,UNKNOWN_NOT_SEPARATELY_PROVEN,EXACT_TIMESTAMP,RECOVERED_EXACT,https://www.kap.org.tr/tr/Bildirim/822265,2f3643aa5dcac99d1c25115d813c0fb296e69a45af6c1051e7bf652394fd9949,
AEFES.IS:2020Q1,AEFES.IS,AEFES,2020Q1,2020-03-31,INTERIM,INDUSTRIAL_OR_HOLDING,XUSIN.IS,CONSOLIDATED,CONSOLIDATED,06.05.2020 19:29:36,2020-05-07T18:10:00,2020-05-15,843158.0,[],843158.0,1,FIRST_ONLY,HIGH,RESOLVED,1.000 TL,PRE_TFRS29,UNKNOWN_NOT_SEPARATELY_PROVEN,EXACT_TIMESTAMP,RECOVERED_EXACT,https://www.kap.org.tr/tr/Bildirim/843158,8a36d188dc6dc3d22a3247d01ff02c20af3f8167f455086f440f44735220d4c0,
AEFES.IS:2020Q2,AEFES.IS,AEFES,2020Q2,2020-06-30,INTERIM,INDUSTRIAL_OR_HOLDING,XUSIN.IS,CONSOLIDATED,CONSOLIDATED,12.08.2020 21:05:30,2020-08-13T18:10:00,2020-08-15,868468.0,[],868468.0,1,FIRST_ONLY,HIGH,RESOLVED,1.000 TL,PRE_TFRS29,UNKNOWN_NOT_SEPARATELY_PROVEN,EXACT_TIMESTAMP,RECOVERED_EXACT,https://www.kap.org.tr/tr/Bildirim/868468,93eb40b743b936cc9bb879be3da4bc3548b729d1bb0ef0a45adb1586a07e356c,
